"PMID","DOI","Title","Abstract","domain","Cleaned_Abstract"
"40252164","10.1007/s12325-025-03185-9","Diabetes Mellitus and Associated Vascular Disease: Pathogenesis, Complications,  and Evolving Treatments.","Diabetes mellitus is a metabolic disorder, characterized by elevated blood sugar  levels (hyperglycemia) and insulin dysregulation. This disease is associated  with morbidity and mortality, including significant potential vascular  complications. High levels of hyperglycemia lead to not only elevated levels of  reactive oxygen species but also advanced glycation end products, which are  detrimental to the vascular endothelium and reduce protective compounds such as  nitric oxide and prostacyclin. This damage contributes to the development of  both macrovascular and microvascular complications. The present investigation  explores the pathophysiological mechanisms of diabetic vascular complications  and evaluates current management strategies, including lifestyle modifications,  pharmacological treatments, and emerging therapies. The review underscores the  importance of ongoing progress in diabetes management and patient education to  lead to optimal patient-health outcomes and quality of life for individuals with  diabetes mellitus.  © 2025. The Author(s).",0,"diabetes mellitus metabolic disorder characterized elevated blood sugar levels hyperglycemia insulin dysregulation disease associated morbidity mortality including significant potential vascular complications high levels hyperglycemia lead elevated levels reactive oxygen species also advanced glycation end products detrimental vascular endothelium reduce protective compounds nitric oxide prostacyclin damage contributes development macrovascular microvascular complications present investigation explores pathophysiological mechanisms diabetic vascular complications evaluates current management strategies including lifestyle modifications pharmacological treatments emerging therapies review underscores importance ongoing progress diabetes management patient education lead optimal patienthealth outcomes quality life individuals diabetes mellitus © authors"
"40449709","10.1016/j.cca.2025.120405","tRNA Fragments in Diabetes Mellitus.","This review summarizes the research progress on tRNA-derived small RNAs (tsRNAs)  in diabetes mellitus and diabetic complications. tsRNAs, categorized into  tRNA-derived stress-induced RNAs (tiRNAs) and tRNA-derived fragments (tRFs), are  involved in gene expression, protein translation, apoptosis, and intercellular  communication. As a class of regulatory non-coding RNAs, tsRNAs exhibit  significant roles in diabetes mellitus. Specifically, tRF-1:31-Glu-CTC-1-M2  shows early diagnostic value in gestational diabetes mellitus (GDM), while  5'ValCAC combined with miR-23b-3p distinguishes maternally inherited diabetes  from type 2 diabetes mellitus (T2DM) (AUC = 1.00). tsRNAs demonstrate specific  expression in diabetic complications: tRF-3001a and tRF-30 are elevated in  diabetic retinopathy (DR) vitreous samples and tRF-Gly-CCC-039 exacerbates  diabetic foot ulcer (DFU) progression. Furthermore, specific fragments like  5'tiRNA-His-GTG and tiRNA-Val are implicated in neurovascular dysfunction during  DR progression. These findings present novel insights into the precise diagnosis  and therapeutic management of diabetes mellitus and diabetic complications,  underscoring the considerable translational potential of tsRNAs in clinical  applications.  Copyright © 2025 Elsevier B.V. All rights reserved.",0," review summarizes research progress trnaderived small rnas tsrnas diabetes mellitus diabetic complications tsrnas categorized trnaderived stressinduced rnas tirnas trnaderived fragments trfs involved gene expression protein translation apoptosis intercellular communication class regulatory noncoding rnas tsrnas exhibit significant roles diabetes mellitus specifically trfgluctcm shows early diagnostic value gestational diabetes mellitus gdm valcac combined mirbp distinguishes maternally inherited diabetes type diabetes mellitus tdm auc   tsrnas demonstrate specific expression diabetic complications trfa trf elevated diabetic retinopathy dr vitreous samples trfglyccc exacerbates diabetic foot ulcer dfu progression furthermore specific fragments like tirnahisgtg tirnaval implicated neurovascular dysfunction dr progression findings present novel insights precise diagnosis therapeutic management diabetes mellitus diabetic complications underscoring considerable translational potential tsrnas clinical applications copyright © elsevier bv rights reserved"
"39209306","10.1055/a-2405-1493","Wang G(1), Shen WB(1), Chen AW(1), Reece EA(1)(2), Yang P(1)(2).","Pregestational diabetes, either type 1 or type 2 diabetes, induces structural  birth defects including neural tube defects and congenital heart defects in  human fetuses. Rodent models of type 1 and type 2 diabetic embryopathy have been  established and faithfully mimic human conditions. Hyperglycemia of maternal  diabetes triggers oxidative stress in the developing neuroepithelium and the  embryonic heart leading to the activation of proapoptotic kinases and excessive  cell death. Oxidative stress also activates the unfolded protein response and  endoplasmic reticulum stress. Hyperglycemia alters epigenetic landscapes by  suppressing histone deacetylation, perturbing microRNA (miRNA) expression, and  increasing DNA methylation. At cellular levels, besides the induction of cell  apoptosis, hyperglycemia suppresses cell proliferation and induces premature  senescence. Stress signaling elicited by maternal diabetes disrupts cellular  organelle homeostasis leading to mitochondrial dysfunction, mitochondrial  dynamic alteration, and autophagy impairment. Blocking oxidative stress, kinase  activation, and cellular senescence ameliorates diabetic embryopathy. Deleting  the mir200c gene or restoring mir322 expression abolishes maternal diabetes  hyperglycemia-induced senescence and cellular stress, respectively. Both the  autophagy activator trehalose and the senomorphic rapamycin can alleviate  diabetic embryopathy. Thus, targeting cellular stress, miRNAs, senescence, or  restoring autophagy or mitochondrial fusion is a promising approach to prevent  poorly controlled maternal diabetes-induced structural birth defects. In this  review, we summarize the causal events in diabetic embryopathy and propose  preventions for this pathological condition. · Maternal diabetes induces  structural birth defects.. · Kinase signaling and cellular organelle stress are  critically involved in neural tube defects.. · Maternal diabetes increases DNA  methylation and suppresses developmental gene expression.. · Cellular apoptosis  and senescence are induced by maternal diabetes in the neuroepithelium.. ·  microRNAs disrupt mitochondrial fusion leading to congenital heart diseases in  diabetic pregnancy..  Thieme. All rights reserved.",0,"pregestational diabetes either type type diabetes induces structural birth defects including neural tube defects congenital heart defects human fetuses rodent models type type diabetic embryopathy established faithfully mimic human conditions hyperglycemia maternal diabetes triggers oxidative stress developing neuroepithelium embryonic heart leading activation proapoptotic kinases excessive cell death oxidative stress also activates unfolded protein response endoplasmic reticulum stress hyperglycemia alters epigenetic landscapes suppressing histone deacetylation perturbing microrna mirna expression increasing dna methylation cellular levels besides induction cell apoptosis hyperglycemia suppresses cell proliferation induces premature senescence stress signaling elicited maternal diabetes disrupts cellular organelle homeostasis leading mitochondrial dysfunction mitochondrial dynamic alteration autophagy impairment blocking oxidative stress kinase activation cellular senescence ameliorates diabetic embryopathy deleting mirc gene restoring mir expression abolishes maternal diabetes hyperglycemiainduced senescence cellular stress respectively autophagy activator trehalose senomorphic rapamycin can alleviate diabetic embryopathy thus targeting cellular stress mirnas senescence restoring autophagy mitochondrial fusion promising approach prevent poorly controlled maternal diabetesinduced structural birth defects review summarize causal events diabetic embryopathy propose preventions pathological condition · maternal diabetes induces structural birth defects · kinase signaling cellular organelle stress critically involved neural tube defects · maternal diabetes increases dna methylation suppresses developmental gene expression · cellular apoptosis senescence induced maternal diabetes neuroepithelium · micrornas disrupt mitochondrial fusion leading congenital heart diseases diabetic pregnancy thieme rights reserved"
"40028663","10.1111/dom.16282","A systematic literature review on the burden of diabetic ketoacidosis in type 2  diabetes mellitus.","AIM: To understand the existing literature on the epidemiology and clinical,  humanistic, and economic burden of diabetic ketoacidosis (DKA) in people living  with type 2 diabetes mellitus (T2DM). MATERIALS AND METHODS: MEDLINE, Embase and the Cochrane library were  systematically searched for studies published between 1 January 2014 and 14  December 2023. Clinical trials and observational studies, conducted in people  living with T2DM, were included if they provided data on DKA epidemiology,  morbidity, mortality, hospitalizations or patient-reported outcomes. Studies of  DKA-associated costs in T2DM were also included. Data were summarized  descriptively. RESULTS: Overall, 197 publications were included. We found wide variations in  DKA prevalence (0.0%-50.0%; 5th-95th percentile: 0.02%-26%; 126 publications)  and incidence (0.0-24.5 events per 1000 patient years; 5th-95th percentile:  0.004-7.6 events per 1000 patient years; 37 publications). Populations at  increased risk of DKA included patients using sodium-glucose cotransporter-2  inhibitors, those using insulin and those with poor glycaemic control. The most  common precipitating factors were infection and non-adherence to treatment.  There was limited evidence on the humanistic burden of DKA, but the results  highlighted a high burden of complications including acute kidney injury or  failure. The length of hospital stay ranged from days to several weeks. CONCLUSIONS: DKA is associated with a high clinical burden in people living with  T2DM. Resources to screen for and potentially prevent DKA may reduce the burden  of DKA for patients with T2DM and the healthcare system.  © 2025 The Author(s). Diabetes, Obesity and Metabolism published by John Wiley &  Sons Ltd.",0,"aim understand existing literature epidemiology clinical humanistic economic burden diabetic ketoacidosis dka people living type diabetes mellitus tdm materials methods medline embase cochrane library systematically searched studies published january december clinical trials observational studies conducted people living tdm included provided data dka epidemiology morbidity mortality hospitalizations patientreported outcomes studies dkaassociated costs tdm also included data summarized descriptively results overall publications included found wide variations dka prevalence thth percentile publications incidence events per patient years thth percentile events per patient years publications populations increased risk dka included patients using sodiumglucose cotransporter inhibitors using insulin poor glycaemic control common precipitating factors infection nonadherence treatment limited evidence humanistic burden dka results highlighted high burden complications including acute kidney injury failure length hospital stay ranged days several weeks conclusions dka associated high clinical burden people living tdm resources screen potentially prevent dka may reduce burden dka patients tdm healthcare system © authors diabetes obesity metabolism published john wiley sons ltd"
"40626748","10.1097/ALN.0000000000005534","Diabetes Mellitus in Pregnancy: Implications for Obstetric Anesthesia.","Comment in     doi: 10.1097/ALN.0000000000005614.  Diabetes in pregnancy is a common obstetric comorbidity that increases the risks  of pregnancy-specific complications. The authors describe in this review how  understanding ambulatory use of insulin can impact peripartum anesthesia care.  Additionally, they describe the appropriate delivery, dosing, and timing of  insulin during birth as relevant for anesthesiologists. They discuss the  indications and limitations of technologies such as continuous glucose monitors  and insulin pumps in pregnancy, and describe their relevance and appropriate  management in the perioperative and peripartum period. Finally, the authors  review the unique complication of euglycemic diabetic ketoacidosis and provide  appropriate management strategies, as anesthesiologists may be in a position to  recognize this complication that could otherwise be overlooked.  Copyright © 2025 The Author(s). Published by Wolters Kluwer Health, Inc., on  behalf of the American Society of Anesthesiologists.",0,"comment doi aln diabetes pregnancy common obstetric comorbidity increases risks pregnancyspecific complications authors describe review understanding ambulatory use insulin can impact peripartum anesthesia care additionally describe appropriate delivery dosing timing insulin birth relevant anesthesiologists discuss indications limitations technologies continuous glucose monitors insulin pumps pregnancy describe relevance appropriate management perioperative peripartum period finally authors review unique complication euglycemic diabetic ketoacidosis provide appropriate management strategies anesthesiologists may position recognize complication otherwise overlooked copyright © authors published wolters kluwer health inc behalf american society anesthesiologists"
"39875116","10.1055/a-2505-5330","Optimizing Diabetes-in-Pregnancy Outcomes Requires a Care Continuum.","This study aimed to assess the strengths, limitations, opportunities, and  threats presented by diabetes-in-pregnancy. We review the improvements in  maternal and fetal mortality since the advent of insulin therapy, evaluate  current health challenges, and identify opportunities for preventing increased  mortality due to diabetes-in-pregnancy. Prior to 1922, women with type 1  diabetes mellitus (T1DM) of childbearing age were discouraged from becoming  pregnant as the maternal and fetal/neonatal mortality rates were extremely high.  Starvation-level dietary restriction was the only ""treatment,"" with limited  success in managing the disease. The discovery of insulin coupled with careful  clinical management presented the possibility of successful pregnancies for  women with T1dm. Over the course of the next half-century, maternal survival  increased from 54 to 97%. However, the gains made in reducing adverse outcomes  of diabetes in pregnancy are eroding due to modern challenges. The global  obesity epidemic has led to an increase in type 2 and gestational diabetes  mellitus (DM). T1DM also is on the rise. Together, the rise in the prevalence of  pregestational diabetes has increased the risks for adverse outcomes. Here we  review the ongoing challenges as well as opportunities for research to improve  outcomes. We suggest that overweight, obesity, and diabetes management must be  coupled with preconception counseling and education and must include, in  addition to, Ob/Gyns, primary care, nutrition, weight management, and other  experts to ensure that those at risk of pregnancy complications due to diabetes  have the best possible outcomes. · Diabetes in pregnancy is affecting more  people.. · The obesity epidemic is fueling an increase in pregestational  diabetes.. · Research is needed to reduce inequities in diabetes in pregnancy  outcomes.. · Blood glucose control should start prior to pregnancy..  Thieme. All rights reserved.",0," study aimed assess strengths limitations opportunities threats presented diabetesinpregnancy review improvements maternal fetal mortality since advent insulin therapy evaluate current health challenges identify opportunities preventing increased mortality due diabetesinpregnancy prior women type diabetes mellitus tdm childbearing age discouraged becoming pregnant maternal fetalneonatal mortality rates extremely high starvationlevel dietary restriction treatment limited success managing disease discovery insulin coupled careful clinical management presented possibility successful pregnancies women tdm course next halfcentury maternal survival increased however gains made reducing adverse outcomes diabetes pregnancy eroding due modern challenges global obesity epidemic led increase type gestational diabetes mellitus dm tdm also rise together rise prevalence pregestational diabetes increased risks adverse outcomes review ongoing challenges well opportunities research improve outcomes suggest overweight obesity diabetes management must coupled preconception counseling education must include addition obgyns primary care nutrition weight management experts ensure risk pregnancy complications due diabetes best possible outcomes · diabetes pregnancy affecting people · obesity epidemic fueling increase pregestational diabetes · research needed reduce inequities diabetes pregnancy outcomes · blood glucose control start prior pregnancy thieme rights reserved"
"40440645","10.1515/jpm-2024-0499","Gestational diabetes insipidus. A systematic review of case reports.","OBJECTIVES: To evaluate the clinical characteristics and etiopathogenic factors  associated with gestational diabetes insipidus (GDI), analyzing maternal and  perinatal outcomes. METHODS: A systematic review was performed in PubMed, Embase and Scopus of  articles on GDI published from January 1, 1980 to April 3, 2024. The review  included 55 case reports on GDI, with a total of 64 women. Data on age, parity,  diagnosis, management, and maternal and perinatal morbidity and mortality were  collected. Descriptive statistical analysis was performed with SPSS version  17.0, considering a p value <0.05 as significant. Study quality was assessed  with the Joanna Briggs Institute critical appraisal checklist. RESULTS: Of the 64 women studied, 65.6 % were primiparous and the mean  gestational age at diagnosis was 32.7 weeks. There was a high prevalence of twin  gestations (21.9 %) and a significant percentage of cesarean deliveries (54 %).  Preeclampsia, Acute fatty liver of pregnancy and HELLP syndrome were  significantly more prevalent. The incidence of prematurity was 54.7 % and the  perinatal mortality rate was 78.1 ‰. These complications showed statistical  significance (p<0.05), indicating the severity of GDI and its impact on  obstetric outcomes. CONCLUSIONS: GDI represents a complex clinical challenge with important  implications for maternal-fetal health. The understanding of its aetiology,  linked to vasopressinase activity and its relationship with various obstetric  pathologies, is crucial for the diagnosis and proper management of this  condition.  © 2025 the author(s), published by De Gruyter, Berlin/Boston.",0,"objectives evaluate clinical characteristics etiopathogenic factors associated gestational diabetes insipidus gdi analyzing maternal perinatal outcomes methods systematic review performed pubmed embase scopus articles gdi published january april review included case reports gdi total women data age parity diagnosis management maternal perinatal morbidity mortality collected descriptive statistical analysis performed spss version considering p value  significant study quality assessed joanna briggs institute critical appraisal checklist results women studied   primiparous mean gestational age diagnosis  weeks high prevalence twin gestations   significant percentage cesarean deliveries   preeclampsia acute fatty liver pregnancy hellp syndrome significantly prevalent incidence prematurity   perinatal mortality rate  ‰ complications showed statistical significance p indicating severity gdi impact obstetric outcomes conclusions gdi represents complex clinical challenge important implications maternalfetal health understanding aetiology linked vasopressinase activity relationship various obstetric pathologies crucial diagnosis proper management condition © authors published de gruyter berlinboston"
"40448151","10.1186/s40001-025-02697-y","HDAC4: an emerging target in diabetes mellitus and diabetic complications.","Diabetes mellitus (DM) is a metabolic disease with complex pathogenic  mechanisms. Histone deacetylase 4 (HDAC4) is a member of an important family of  epigenetic modifications. An increasing amount of research indicates that HDAC4  may control DM by modulating the epigenetic and post-translational expression of  numerous transcription factors and taking part in different signaling cascades.  In this review, HDAC4 was reported to control the differentiation, growth, and  function of pancreatic β-cells. Furthermore, HDAC4 regulates glucose metabolism  by targeting GLUT4 and FOXO1 and further modulates insulin signaling pathways  through cytoplasmic-nuclear shuttling. Moreover, HDAC4 has also been implicated  in the regulation of diabetic nephropathy, diabetic cardiomyopathy, diabetes  osteoporosis, diabetic wounds, and diabetic encephalopathy. Therefore, HDAC4 is  consider to be a viable therapeutic target for the treatment of DM and its  complications. HDAC inhibitors and other targeted inhibitions of HDAC4 provide  us with new ideas for developing novel intervention strategies. This article  reviews the role of HDAC4 in diabetes mellitus and its complications.  © 2025. The Author(s).",0,"diabetes mellitus dm metabolic disease complex pathogenic mechanisms histone deacetylase hdac member important family epigenetic modifications increasing amount research indicates hdac may control dm  modulating epigenetic posttranslational expression numerous transcription factors taking part different signaling cascades review hdac reported control differentiation growth function pancreatic βcells furthermore hdac regulates glucose metabolism targeting glut foxo modulates insulin signaling pathways cytoplasmicnuclear shuttling moreover hdac also implicated regulation diabetic nephropathy diabetic cardiomyopathy diabetes osteoporosis diabetic wounds diabetic encephalopathy therefore hdac consider viable therapeutic target treatment dm  complications hdac inhibitors targeted inhibitions hdac provide us new ideas developing novel intervention strategies article reviews role hdac diabetes mellitus complications © authors"
"41001676","10.3389/fendo.2025.1630686","Type 2 diabetes mediated heart failure: focus on early recognition and clinical  strategies.","Type 2 diabetes mellitus (T2DM) is an important risk factor for the development  of heart failure (HF), both directly by impairing cardiac function and  indirectly through related conditions such as hypertension, coronary heart  disease, renal dysfunction, and other metabolic disorders. The prevention of  T2DM-related HF is a comprehensive management process involving complex and  multifactorial pathogenic mechanisms. An in-depth exploration of the  pathophysiological and clinical risk factors of HF in T2DM can assist clinicians  in identifying individuals at high risk of HF, enabling early intervention  measures to prevent its onset. In this review, we present data on the  pathophysiology and epidemiology of T2DM-mediated HF, clinical phenotypic  features of cardiomyopathy, and summarize clinical risk factors predicting HF  development identified in multiple studies, risk assessment tools, and clinical  trial data on the efficacy of lifestyle modifications, pharmacological  treatments, and bariatric surgical interventions. Finally, we discuss best  practice recommendations for clinicians, highlight potential limitations and  challenges, and propose possible future research directions.  Copyright © 2025 Chen, Li, Zheng, Huang, Wang and Wu.",0,"type diabetes mellitus tdm important risk factor development heart failure hf directly impairing cardiac function indirectly related conditions hypertension coronary heart disease renal dysfunction metabolic disorders prevention tdmrelated hf comprehensive management process involving complex multifactorial pathogenic mechanisms indepth exploration pathophysiological clinical risk factors hf tdm can assist clinicians identifying individuals high risk hf enabling early intervention measures prevent onset review present data pathophysiology epidemiology tdmmediated hf clinical phenotypic features cardiomyopathy summarize clinical risk factors predicting hf development identified multiple studies risk assessment tools clinical trial data efficacy lifestyle modifications pharmacological treatments bariatric surgical interventions finally discuss best practice recommendations clinicians highlight potential limitations challenges propose possible future research directions copyright © chen li zheng huang wang wu"
"41134589","10.1001/jama.2025.19578","Closed-Loop Insulin Delivery in Type 1 Diabetes in Pregnancy: The CIRCUIT  Randomized Clinical Trial.","Comment in     JAMA. 2025 Dec 23;334(24):2165-2167. doi: 10.1001/jama.2025.19201.  IMPORTANCE: Hyperglycemia-related pregnancy complications occur in 50% of  pregnant women with type 1 diabetes. Closed-loop insulin systems improve  glycemia outside of pregnancy but have had limited testing in pregnancy. OBJECTIVE: To assess the efficacy of a closed-loop system in pregnancy. DESIGN, SETTING, AND PARTICIPANTS: Open-label trial enrolling pregnant women  with type 1 diabetes at 14 clinical centers in Canada and Australia before 14  weeks' gestation with follow-up until 6 weeks postpartum. Enrollment occurred  between June 2021 and July 2024 and follow-up was completed in March 2025. INTERVENTIONS: Participants were randomized 1:1 to closed-loop therapy (n = 46)  or standard care (insulin pump or multiple daily insulin injections) (n = 45)  with continuous glucose monitoring. MAIN OUTCOMES AND MEASURES: The primary outcome was the percentage of time spent  in the pregnancy-specific glucose range (63-140 mg/dL), measured by continuous  glucose monitoring from 16 to 34 weeks' gestation. RESULTS: Among 94 enrolled participants, 3 experienced pregnancy loss prior to  randomization, 91 were randomized (mean age, 31.7 [SD, 5.2] years; early  pregnancy hemoglobin A1c, 7.4% [SD, 1.0%]), and 88 were included in the primary  analysis. The mean percentage of time spent in the pregnancy-specific glucose  range from 16 to 34 weeks' gestation was 65.4% in the closed-loop group and  50.3% in the standard care group (mean adjusted difference, 12.5 [95% CI,  9.5-15.6] percentage points; P < .001). There was 1 episode of severe  hypoglycemia in the closed-loop group, and there were 2 episodes of diabetic  ketoacidosis in the closed-loop group and 1 in the standard care group. CONCLUSION AND RELEVANCE: Pregnant women with type 1 diabetes using a  closed-loop system spent significantly more time in the pregnancy-specific  glucose range than those receiving standard care. These findings support the use  of this closed-loop system in pregnant women with type 1 diabetes. TRIAL REGISTRATION: ClinicalTrials.gov Identifier: NCT04902378.",0,"comment jama dec doi jama importance hyperglycemiarelated pregnancy complications occur pregnant women type diabetes closedloop insulin systems improve glycemia outside pregnancy limited testing pregnancy objective assess efficacy closedloop system pregnancy design setting participants openlabel trial enrolling pregnant women type diabetes clinical centers canada australia weeks gestation followup weeks postpartum enrollment occurred june july followup completed march interventions participants randomized closedloop therapy n standard care insulin pump multiple daily insulin injections n continuous glucose monitoring main outcomes measures primary outcome percentage time spent pregnancyspecific glucose range mgdl measured continuous glucose monitoring weeks gestation results among enrolled participants experienced pregnancy loss prior randomization randomized mean age sd years early pregnancy hemoglobin ac sd included primary analysis mean percentage time spent pregnancyspecific glucose range weeks gestation closedloop group standard care group mean adjusted difference ci percentage points p episode severe hypoglycemia closedloop group episodes diabetic ketoacidosis closedloop group standard care group conclusion relevance pregnant women type diabetes using closedloop system spent significantly time pregnancyspecific glucose range receiving standard care findings support use closedloop system pregnant women type diabetes trial registration clinicaltrialsgov identifier nct"
